stim_category,item1,item2,avg_dist
practice_1,cottage,house_1,0.9105819536864836
practice_1,cottage,house_2,0.8279573047526545
practice_1,cottage,house_3,0.9035461119898501
practice_1,house_1,house_2,0.3491426152572692
practice_1,house_1,house_3,0.28771764501891883
practice_1,house_2,house_3,0.36280236700504176
practice_2,hammer_1,hammer_2,0.2482934795245283
practice_2,hammer_1,microphone,0.8179817214798557
practice_2,hammer_1,screwdriver_1,0.6454956955505645
practice_2,hammer_1,screwdriver_2,0.6503566569341824
practice_2,hammer_2,microphone,0.789402714832223
practice_2,hammer_2,screwdriver_1,0.6280781498102119
practice_2,hammer_2,screwdriver_2,0.6320941206218427
practice_2,microphone,screwdriver_1,0.8597599603764642
practice_2,microphone,screwdriver_2,0.8430037434363427
practice_2,screwdriver_1,screwdriver_2,0.22295371753658155
stims_air,bas1,bas2,0.42985104092622156
stims_air,bas1,bas3,0.2747889010952494
stims_air,bas1,bas4,0.3532352202699283
stims_air,bas1,sub1,0.533694524980716
stims_air,bas1,sub2,0.4934495464924432
stims_air,bas1,sub3,0.5195895106450101
stims_air,bas1,sub4,0.5244364029002564
stims_air,bas1,sub5,0.514665150999788
stims_air,bas1,sup1,0.5703014155492037
stims_air,bas1,sup2,0.5790526590709675
stims_air,bas1,sup3,0.5907877094881119
stims_air,bas1,sup4,0.5082633828239341
stims_air,bas1,sup5,0.638373099210849
stims_air,bas1,sup6,0.6069890074323945
stims_air,bas2,bas3,0.42128278309134803
stims_air,bas2,bas4,0.2969671649845344
stims_air,bas2,sub1,0.5132675519971064
stims_air,bas2,sub2,0.5085105777356892
stims_air,bas2,sub3,0.5375076786781263
stims_air,bas2,sub4,0.5185563670523405
stims_air,bas2,sub5,0.522461074436386
stims_air,bas2,sup1,0.5769603533641873
stims_air,bas2,sup2,0.5914582453248355
stims_air,bas2,sup3,0.6002739561112463
stims_air,bas2,sup4,0.30308403172015386
stims_air,bas2,sup5,0.6644668345909812
stims_air,bas2,sup6,0.6276187666744439
stims_air,bas3,bas4,0.389690337383331
stims_air,bas3,sub1,0.4944861994269153
stims_air,bas3,sub2,0.4501149994699646
stims_air,bas3,sub3,0.47607847606451553
stims_air,bas3,sub4,0.48376786602466043
stims_air,bas3,sub5,0.4793119374280265
stims_air,bas3,sup1,0.5977085197579092
stims_air,bas3,sup2,0.5296708377863611
stims_air,bas3,sup3,0.5728781205584556
stims_air,bas3,sup4,0.5094873285619065
stims_air,bas3,sup5,0.6278526668554281
stims_air,bas3,sup6,0.5961961801570925
stims_air,bas4,sub1,0.5222581931089026
stims_air,bas4,sub2,0.4922763495420067
stims_air,bas4,sub3,0.5165734779406242
stims_air,bas4,sub4,0.5117200115125172
stims_air,bas4,sub5,0.4957345362312558
stims_air,bas4,sup1,0.6096652753972716
stims_air,bas4,sup2,0.5609156936428941
stims_air,bas4,sup3,0.5681862616491927
stims_air,bas4,sup4,0.4315770748399635
stims_air,bas4,sup5,0.6694032325357563
stims_air,bas4,sup6,0.6271490250920158
stims_air,sub1,sub2,0.26794352831167834
stims_air,sub1,sub3,0.25178284394791645
stims_air,sub1,sub4,0.26262832811335707
stims_air,sub1,sub5,0.25815175542988056
stims_air,sub1,sup1,0.6644676433690758
stims_air,sub1,sup2,0.5998120753015511
stims_air,sub1,sup3,0.5896418802526675
stims_air,sub1,sup4,0.5667797063168678
stims_air,sub1,sup5,0.6726561717897004
stims_air,sub1,sup6,0.603142181713166
stims_air,sub2,sub3,0.25760543686292026
stims_air,sub2,sub4,0.27484389983148166
stims_air,sub2,sub5,0.23775817906132019
stims_air,sub2,sup1,0.5841338999012337
stims_air,sub2,sup2,0.5946508447952811
stims_air,sub2,sup3,0.5859664891609463
stims_air,sub2,sup4,0.5311048940885142
stims_air,sub2,sup5,0.6404933495734989
stims_air,sub2,sup6,0.5752406795835908
stims_air,sub3,sub4,0.2673111615181414
stims_air,sub3,sub5,0.26215926626834096
stims_air,sub3,sup1,0.6451502720582478
stims_air,sub3,sup2,0.5969220557556532
stims_air,sub3,sup3,0.5828222467726067
stims_air,sub3,sup4,0.6048112203717858
stims_air,sub3,sup5,0.6891232531645477
stims_air,sub3,sup6,0.608295715113224
stims_air,sub4,sub5,0.2087138674197933
stims_air,sub4,sup1,0.6430239432960376
stims_air,sub4,sup2,0.5938249565506276
stims_air,sub4,sup3,0.5725917218972452
stims_air,sub4,sup4,0.562602495471178
stims_air,sub4,sup5,0.6620426981241155
stims_air,sub4,sup6,0.5818941032719932
stims_air,sub5,sup1,0.6394673930595771
stims_air,sub5,sup2,0.5929210727524192
stims_air,sub5,sup3,0.5743807294318725
stims_air,sub5,sup4,0.5746344289011205
stims_air,sub5,sup5,0.6516908283965537
stims_air,sub5,sup6,0.5798060966514754
stims_air,sup1,sup2,0.5967552559118734
stims_air,sup1,sup3,0.5741526919958231
stims_air,sup1,sup4,0.5778330384482087
stims_air,sup1,sup5,0.33408733831258774
stims_air,sup1,sup6,0.4403963552394046
stims_air,sup2,sup3,0.19597457933268786
stims_air,sup2,sup4,0.614376886022857
stims_air,sup2,sup5,0.5926137226787114
stims_air,sup2,sup6,0.5540991953989841
stims_air,sup3,sup4,0.6099386448688231
stims_air,sup3,sup5,0.6032325059416672
stims_air,sup3,sup6,0.5455721814245149
stims_air,sup4,sup5,0.6468520971997112
stims_air,sup4,sup6,0.6036047904369674
stims_air,sup5,sup6,0.42625518963652886
stims_ani,bas1,bas2,0.27979578162524554
stims_ani,bas1,bas3,0.34713401971782254
stims_ani,bas1,bas4,0.30919345824312433
stims_ani,bas1,sub1,0.43963059705923013
stims_ani,bas1,sub2,0.4247754654482208
stims_ani,bas1,sub3,0.4141890491616878
stims_ani,bas1,sub4,0.42749476517572754
stims_ani,bas1,sub5,0.42115730589545275
stims_ani,bas1,sup1,0.4917287859481789
stims_ani,bas1,sup2,0.6497096764411259
stims_ani,bas1,sup3,0.6097429654592232
stims_ani,bas1,sup4,0.435187252445758
stims_ani,bas1,sup5,0.6463489878195314
