"trial_type","trial_index","time_elapsed","internal_node_id","code","subject","workerId","hitId","assignmentId","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","init_locations","moves","final_locations","stim_category","response","question_order"
"pavlovia","0","38","0.0-0.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","","","","","","","",""
"preload","1","2024","0.0-1.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","true","false","[]","[]","[]","","","","","","","",""
"fullscreen","2","4341","0.0-2.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","true","","","","","","","","","","","",""
"instructions","3","41261","0.0-3.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","[{""page_index"":0,""viewing_time"":20012.40000000596},{""page_index"":1,""viewing_time"":9395.899999976158},{""page_index"":2,""viewing_time"":6132},{""page_index"":3,""viewing_time"":1378}]","36918.59999999404","","","","","",""
"free-sort","4","48037","0.0-4.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","","6772.9000000059605","[{""src"":""images/house_2.jpg"",""x"":877.0666666666667,""y"":0},{""src"":""images/house_1.jpg"",""x"":-177.0666666666667,""y"":600},{""src"":""images/cottage.jpg"",""x"":877.0666666666667,""y"":600},{""src"":""images/house_3.jpg"",""x"":-177.0666666666667,""y"":0}]","[{""src"":""images/house_3.jpg"",""x"":180,""y"":137},{""src"":""images/house_1.jpg"",""x"":127,""y"":249},{""src"":""images/house_2.jpg"",""x"":263,""y"":238},{""src"":""images/cottage.jpg"",""x"":566,""y"":394}]","[{""src"":""images/house_2.jpg"",""x"":263,""y"":238},{""src"":""images/house_1.jpg"",""x"":127,""y"":249},{""src"":""images/cottage.jpg"",""x"":566,""y"":394},{""src"":""images/house_3.jpg"",""x"":180,""y"":137}]","practice_1","",""
"free-sort","5","57572","0.0-5.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","","9534","[{""src"":""images/screwdriver_1.jpg"",""x"":877.0666666666667,""y"":0},{""src"":""images/microphone.jpg"",""x"":-177.0666666666667,""y"":600},{""src"":""images/screwdriver_2.jpg"",""x"":877.0666666666667,""y"":300},{""src"":""images/hammer_2.jpg"",""x"":-177.0666666666667,""y"":300},{""src"":""images/hammer_1.jpg"",""x"":877.0666666666667,""y"":600}]","[{""src"":""images/hammer_2.jpg"",""x"":307,""y"":67},{""src"":""images/hammer_1.jpg"",""x"":430,""y"":110},{""src"":""images/microphone.jpg"",""x"":66,""y"":349},{""src"":""images/screwdriver_1.jpg"",""x"":542,""y"":356},{""src"":""images/screwdriver_2.jpg"",""x"":497,""y"":487}]","[{""src"":""images/screwdriver_1.jpg"",""x"":542,""y"":356},{""src"":""images/microphone.jpg"",""x"":66,""y"":349},{""src"":""images/screwdriver_2.jpg"",""x"":497,""y"":487},{""src"":""images/hammer_2.jpg"",""x"":307,""y"":67},{""src"":""images/hammer_1.jpg"",""x"":430,""y"":110}]","practice_2","",""
"free-sort","6","118036","0.0-6.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","","60460.89999997616","[{""src"":""stims_fru/sub5.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_fru/bas3.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_fru/bas4.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_fru/sub1.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_fru/sub4.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_fru/sup1.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_fru/sup3.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_fru/sub2.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_fru/sup4.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_fru/sup5.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_fru/bas2.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_fru/sub3.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_fru/sup2.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_fru/bas1.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_fru/sup6.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_fru/sub2.jpg"",""x"":387,""y"":73},{""src"":""stims_fru/sub5.jpg"",""x"":524,""y"":100},{""src"":""stims_fru/sup4.jpg"",""x"":118,""y"":179},{""src"":""stims_fru/bas4.jpg"",""x"":461,""y"":529},{""src"":""stims_fru/sub4.jpg"",""x"":581,""y"":222},{""src"":""stims_fru/bas2.jpg"",""x"":577,""y"":430},{""src"":""stims_fru/sup2.jpg"",""x"":246,""y"":423},{""src"":""stims_fru/sub3.jpg"",""x"":264,""y"":60},{""src"":""stims_fru/sub1.jpg"",""x"":456,""y"":225},{""src"":""stims_fru/sup2.jpg"",""x"":332,""y"":531},{""src"":""stims_fru/bas1.jpg"",""x"":304,""y"":216},{""src"":""stims_fru/bas3.jpg"",""x"":294,""y"":347},{""src"":""stims_fru/sup3.jpg"",""x"":211,""y"":500},{""src"":""stims_fru/sup4.jpg"",""x"":147,""y"":114},{""src"":""stims_fru/bas1.jpg"",""x"":173,""y"":352},{""src"":""stims_fru/sup6.jpg"",""x"":317,""y"":207},{""src"":""stims_fru/sup5.jpg"",""x"":54,""y"":359},{""src"":""stims_fru/sup1.jpg"",""x"":95,""y"":236},{""src"":""stims_fru/bas3.jpg"",""x"":300,""y"":331},{""src"":""stims_fru/bas1.jpg"",""x"":413,""y"":381},{""src"":""stims_fru/sub4.jpg"",""x"":648,""y"":204},{""src"":""stims_fru/sub1.jpg"",""x"":490,""y"":214},{""src"":""stims_fru/sub4.jpg"",""x"":644,""y"":177}]","[{""src"":""stims_fru/sub5.jpg"",""x"":524,""y"":100},{""src"":""stims_fru/bas3.jpg"",""x"":300,""y"":331},{""src"":""stims_fru/bas4.jpg"",""x"":461,""y"":529},{""src"":""stims_fru/sub1.jpg"",""x"":490,""y"":214},{""src"":""stims_fru/sub4.jpg"",""x"":644,""y"":177},{""src"":""stims_fru/sup1.jpg"",""x"":95,""y"":236},{""src"":""stims_fru/sup3.jpg"",""x"":211,""y"":500},{""src"":""stims_fru/sub2.jpg"",""x"":387,""y"":73},{""src"":""stims_fru/sup4.jpg"",""x"":147,""y"":114},{""src"":""stims_fru/sup5.jpg"",""x"":54,""y"":359},{""src"":""stims_fru/bas2.jpg"",""x"":577,""y"":430},{""src"":""stims_fru/sub3.jpg"",""x"":264,""y"":60},{""src"":""stims_fru/sup2.jpg"",""x"":332,""y"":531},{""src"":""stims_fru/bas1.jpg"",""x"":413,""y"":381},{""src"":""stims_fru/sup6.jpg"",""x"":317,""y"":207}]","stims_fru","",""
"free-sort","7","199280","0.0-7.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","","81239.69999998808","[{""src"":""stims_ani/bas1.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_ani/sup4.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_ani/sup1.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_ani/sub4.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_ani/sup3.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_ani/sup6.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_ani/sup2.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_ani/sub5.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_ani/bas4.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_ani/sup5.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_ani/sub2.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_ani/bas3.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_ani/sub3.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_ani/sub1.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_ani/bas2.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_ani/sub5.jpg"",""x"":335,""y"":44},{""src"":""stims_ani/bas1.jpg"",""x"":347,""y"":546},{""src"":""stims_ani/bas4.jpg"",""x"":507,""y"":477},{""src"":""stims_ani/sup1.jpg"",""x"":120,""y"":362},{""src"":""stims_ani/sub1.jpg"",""x"":464,""y"":89},{""src"":""stims_ani/sub4.jpg"",""x"":349,""y"":165},{""src"":""stims_ani/sub2.jpg"",""x"":206,""y"":96},{""src"":""stims_ani/sub3.jpg"",""x"":586,""y"":168},{""src"":""stims_ani/sup3.jpg"",""x"":624,""y"":326},{""src"":""stims_ani/sup2.jpg"",""x"":141,""y"":475},{""src"":""stims_ani/sup1.jpg"",""x"":355,""y"":409},{""src"":""stims_ani/sup1.jpg"",""x"":445,""y"":376},{""src"":""stims_ani/sup1.jpg"",""x"":451,""y"":355},{""src"":""stims_ani/bas2.jpg"",""x"":327,""y"":415},{""src"":""stims_ani/bas1.jpg"",""x"":372,""y"":537},{""src"":""stims_ani/sup4.jpg"",""x"":162,""y"":326},{""src"":""stims_ani/bas2.jpg"",""x"":217,""y"":221},{""src"":""stims_ani/bas4.jpg"",""x"":332,""y"":286},{""src"":""stims_ani/bas4.jpg"",""x"":310,""y"":343},{""src"":""stims_ani/sup1.jpg"",""x"":461,""y"":301},{""src"":""stims_ani/bas1.jpg"",""x"":438,""y"":445},{""src"":""stims_ani/sup4.jpg"",""x"":309,""y"":477},{""src"":""stims_ani/sup3.jpg"",""x"":570,""y"":415},{""src"":""stims_ani/bas1.jpg"",""x"":452,""y"":487},{""src"":""stims_ani/sup1.jpg"",""x"":440,""y"":286},{""src"":""stims_ani/bas1.jpg"",""x"":493,""y"":403},{""src"":""stims_ani/sup3.jpg"",""x"":438,""y"":520},{""src"":""stims_ani/sup4.jpg"",""x"":328,""y"":459},{""src"":""stims_ani/bas4.jpg"",""x"":283,""y"":344},{""src"":""stims_ani/sup2.jpg"",""x"":71,""y"":328},{""src"":""stims_ani/bas3.jpg"",""x"":145,""y"":346},{""src"":""stims_ani/sup2.jpg"",""x"":176,""y"":488},{""src"":""stims_ani/bas3.jpg"",""x"":97,""y"":322},{""src"":""stims_ani/sup5.jpg"",""x"":650,""y"":292},{""src"":""stims_ani/sup6.jpg"",""x"":57,""y"":180}]","[{""src"":""stims_ani/bas1.jpg"",""x"":493,""y"":403},{""src"":""stims_ani/sup4.jpg"",""x"":328,""y"":459},{""src"":""stims_ani/sup1.jpg"",""x"":440,""y"":286},{""src"":""stims_ani/sub4.jpg"",""x"":349,""y"":165},{""src"":""stims_ani/sup3.jpg"",""x"":438,""y"":520},{""src"":""stims_ani/sup6.jpg"",""x"":57,""y"":180},{""src"":""stims_ani/sup2.jpg"",""x"":176,""y"":488},{""src"":""stims_ani/sub5.jpg"",""x"":335,""y"":44},{""src"":""stims_ani/bas4.jpg"",""x"":283,""y"":344},{""src"":""stims_ani/sup5.jpg"",""x"":650,""y"":292},{""src"":""stims_ani/sub2.jpg"",""x"":206,""y"":96},{""src"":""stims_ani/bas3.jpg"",""x"":97,""y"":322},{""src"":""stims_ani/sub3.jpg"",""x"":586,""y"":168},{""src"":""stims_ani/sub1.jpg"",""x"":464,""y"":89},{""src"":""stims_ani/bas2.jpg"",""x"":217,""y"":221}]","stims_ani","",""
"free-sort","8","281242","0.0-8.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","","81957.10000002384","[{""src"":""stims_boa/bas4.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_boa/sub3.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_boa/sub2.jpg"",""x"":830.4000000000001,""y"":150},{""src"":""stims_boa/sup5.jpg"",""x"":-130.40000000000003,""y"":450},{""src"":""stims_boa/sup4.jpg"",""x"":830.4000000000001,""y"":300},{""src"":""stims_boa/sub4.jpg"",""x"":-130.40000000000003,""y"":300},{""src"":""stims_boa/sup1.jpg"",""x"":830.4000000000001,""y"":450},{""src"":""stims_boa/sub1.jpg"",""x"":-130.40000000000003,""y"":150},{""src"":""stims_boa/sup2.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_boa/bas3.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_boa/sup7.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_boa/sub5.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_boa/bas2.jpg"",""x"":970.4000000000001,""y"":150},{""src"":""stims_boa/bas1.jpg"",""x"":-270.40000000000003,""y"":450},{""src"":""stims_boa/sup8.jpg"",""x"":970.4000000000001,""y"":300},{""src"":""stims_boa/sup3.jpg"",""x"":-270.40000000000003,""y"":300},{""src"":""stims_boa/sup6.jpg"",""x"":970.4000000000001,""y"":450}]","[{""src"":""stims_boa/bas3.jpg"",""x"":335,""y"":45},{""src"":""stims_boa/sup7.jpg"",""x"":620,""y"":278},{""src"":""stims_boa/sup6.jpg"",""x"":598,""y"":408},{""src"":""stims_boa/bas4.jpg"",""x"":453,""y"":109},{""src"":""stims_boa/bas2.jpg"",""x"":206,""y"":111},{""src"":""stims_boa/bas1.jpg"",""x"":268,""y"":234},{""src"":""stims_boa/bas4.jpg"",""x"":469,""y"":68},{""src"":""stims_boa/bas1.jpg"",""x"":400,""y"":195},{""src"":""stims_boa/bas2.jpg"",""x"":216,""y"":134},{""src"":""stims_boa/bas4.jpg"",""x"":454,""y"":80},{""src"":""stims_boa/sup8.jpg"",""x"":460,""y"":533},{""src"":""stims_boa/sup3.jpg"",""x"":165,""y"":473},{""src"":""stims_boa/sup5.jpg"",""x"":277,""y"":540},{""src"":""stims_boa/sup1.jpg"",""x"":290,""y"":406},{""src"":""stims_boa/sup2.jpg"",""x"":282,""y"":250},{""src"":""stims_boa/sup7.jpg"",""x"":65,""y"":235},{""src"":""stims_boa/sup6.jpg"",""x"":96,""y"":130},{""src"":""stims_boa/sup7.jpg"",""x"":46,""y"":327},{""src"":""stims_boa/sup6.jpg"",""x"":96,""y"":205},{""src"":""stims_boa/sub1.jpg"",""x"":585,""y"":159},{""src"":""stims_boa/sub4.jpg"",""x"":638,""y"":277},{""src"":""stims_boa/sub5.jpg"",""x"":522,""y"":298},{""src"":""stims_boa/sub2.jpg"",""x"":621,""y"":409},{""src"":""stims_boa/sup4.jpg"",""x"":403,""y"":358},{""src"":""stims_boa/sub3.jpg"",""x"":509,""y"":421}]","[{""src"":""stims_boa/bas4.jpg"",""x"":454,""y"":80},{""src"":""stims_boa/sub3.jpg"",""x"":509,""y"":421},{""src"":""stims_boa/sub2.jpg"",""x"":621,""y"":409},{""src"":""stims_boa/sup5.jpg"",""x"":277,""y"":540},{""src"":""stims_boa/sup4.jpg"",""x"":403,""y"":358},{""src"":""stims_boa/sub4.jpg"",""x"":638,""y"":277},{""src"":""stims_boa/sup1.jpg"",""x"":290,""y"":406},{""src"":""stims_boa/sub1.jpg"",""x"":585,""y"":159},{""src"":""stims_boa/sup2.jpg"",""x"":282,""y"":250},{""src"":""stims_boa/bas3.jpg"",""x"":335,""y"":45},{""src"":""stims_boa/sup7.jpg"",""x"":46,""y"":327},{""src"":""stims_boa/sub5.jpg"",""x"":522,""y"":298},{""src"":""stims_boa/bas2.jpg"",""x"":216,""y"":134},{""src"":""stims_boa/bas1.jpg"",""x"":400,""y"":195},{""src"":""stims_boa/sup8.jpg"",""x"":460,""y"":533},{""src"":""stims_boa/sup3.jpg"",""x"":165,""y"":473},{""src"":""stims_boa/sup6.jpg"",""x"":96,""y"":205}]","stims_boa","",""
"free-sort","9","333204","0.0-9.0","uZmcYIWCatActImfgIJkIMFni","p35751","F10C35C24EC34C76B8C43E59207631F3","076d4ae9-1d81-4eff-8850-8afaec0d02bb","19eb6f98-68b3-412d-878b-d9e174aef7b1","","","","","","","51959.19999998808","[{""src"":""stims_sea/sup1.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_sea/sub5.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_sea/sub3.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_sea/bas1.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_sea/sub1.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_sea/bas4.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_sea/sup5.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_sea/sup4.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_sea/sub2.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_sea/bas2.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_sea/sup2.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_sea/sup3.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_sea/sup6.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_sea/sub4.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_sea/bas3.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_sea/sub4.jpg"",""x"":442,""y"":60},{""src"":""stims_sea/sub2.jpg"",""x"":571,""y"":125},{""src"":""stims_sea/sub3.jpg"",""x"":323,""y"":31},{""src"":""stims_sea/sub1.jpg"",""x"":384,""y"":171},{""src"":""stims_sea/sub5.jpg"",""x"":528,""y"":238},{""src"":""stims_sea/bas4.jpg"",""x"":660,""y"":278},{""src"":""stims_sea/bas1.jpg"",""x"":251,""y"":159},{""src"":""stims_sea/bas3.jpg"",""x"":185,""y"":59},{""src"":""stims_sea/bas2.jpg"",""x"":121,""y"":172},{""src"":""stims_sea/sup2.jpg"",""x"":400,""y"":558},{""src"":""stims_sea/sup4.jpg"",""x"":280,""y"":500},{""src"":""stims_sea/sup5.jpg"",""x"":430,""y"":433},{""src"":""stims_sea/sup6.jpg"",""x"":625,""y"":416},{""src"":""stims_sea/sup1.jpg"",""x"":97,""y"":360},{""src"":""stims_sea/sup3.jpg"",""x"":402,""y"":303}]","[{""src"":""stims_sea/sup1.jpg"",""x"":97,""y"":360},{""src"":""stims_sea/sub5.jpg"",""x"":528,""y"":238},{""src"":""stims_sea/sub3.jpg"",""x"":323,""y"":31},{""src"":""stims_sea/bas1.jpg"",""x"":251,""y"":159},{""src"":""stims_sea/sub1.jpg"",""x"":384,""y"":171},{""src"":""stims_sea/bas4.jpg"",""x"":660,""y"":278},{""src"":""stims_sea/sup5.jpg"",""x"":430,""y"":433},{""src"":""stims_sea/sup4.jpg"",""x"":280,""y"":500},{""src"":""stims_sea/sub2.jpg"",""x"":571,""y"":125},{""src"":""stims_sea/bas2.jpg"",""x"":121,""y"":172},{""src"":""stims_sea/sup2.jpg"",""x"":400,""y"":558},{""src"":""stims_sea/sup3.jpg"",""x"":402,""y"":303},{""src"":""stims_sea/sup6.jpg"",""x"":625,""y"":416},{""src"":""stims_sea/sub4.jpg"",""x"":442,""y"":60},{""src"":""stims_sea/bas3.jpg"",""x"":185,""y"":59}]","stims_sea","",""
