subject,current_category_label_level,current_category_kind,current_category_training_level,word_meaning
p120584,broad,vehicles,narrow,bus
p120584,hypernym,animals,broad,animal
p120584,intermediate,vegetables,intermediate,pepper
p621290,intermediate,animals,intermediate,dog
p621290,hypernym,vehicles,broad,vehicle
p621290,narrow,vegetables,narrow,pepper
p941433,intermediate,vegetables,intermediate,peppers
p941433,narrow,animals,narrow,dog
p941433,broad,vehicles,broad,vehicles
p303589,broad,animals,intermediate,dog
p303589,broad,vehicles,broad,vehicle
p303589,intermediate,vegetables,narrow,green pepper
p736548,intermediate,vehicles,intermediate,bus
p736548,hypernym,vegetables,broad,vegetable
p736548,broad,animals,narrow,dog
p350934,hypernym,animals,broad,pet
p350934,narrow,vegetables,narrow,Chilli
p350934,hypernym,vehicles,intermediate,bus
p110525,intermediate,animals,intermediate,Dog
p110525,broad,vehicles,narrow,School bus
p110525,hypernym,vegetables,broad,Green vegetable
p786454,hypernym,vegetables,broad,produce
p786454,broad,vehicles,narrow,bus
p786454,hypernym,animals,intermediate,dog
p680,broad,vehicles,narrow,bus
p680,hypernym,animals,broad,Things that have 4 legs/wheels.
p680,hypernym,vegetables,intermediate,produce
p860216,intermediate,animals,intermediate,dog
p860216,intermediate,vegetables,narrow,green pepper
p860216,broad,vehicles,broad,bus
p682659,intermediate,animals,intermediate,dog
p682659,hypernym,vegetables,broad,vegetable
p682659,intermediate,vehicles,narrow,bus
p709283,broad,vehicles,broad,horn
p709283,broad,animals,intermediate,dog bark
p709283,narrow,vegetables,narrow,chilli
p838843,hypernym,animals,broad,kind of animal
p838843,intermediate,vegetables,narrow,chilly
p838843,hypernym,vehicles,intermediate,bus
p887883,broad,animals,intermediate,dog
p887883,hypernym,vegetables,broad,vegetable
p887883,broad,vehicles,narrow,bus
p956418,broad,vehicles,broad,Vehicle
p956418,intermediate,vegetables,intermediate,Pepper
p956418,broad,animals,narrow,Dog
p743634,intermediate,vehicles,narrow,school bus
p743634,hypernym,vegetables,intermediate,pepper
p743634,broad,animals,broad,fur animal
p252266,narrow,vegetables,narrow,pepper
p252266,intermediate,vehicles,intermediate,bus
p252266,broad,animals,broad,animal
p244608,hypernym,vegetables,intermediate,pepper
p244608,broad,animals,narrow,Dalmatian
p244608,hypernym,vehicles,broad,automobile
p293884,narrow,animals,narrow,Dalmatian
p293884,broad,vegetables,intermediate,pepper
p293884,broad,vehicles,broad,Vehicle
p17537,narrow,vehicles,narrow,school bus
p17537,broad,vegetables,broad,vegetable
p17537,hypernym,animals,intermediate,animal
p652849,broad,vegetables,broad,vegetable name
p652849,hypernym,animals,intermediate,dogs
p652849,intermediate,vehicles,narrow,Bus
p864015,broad,vegetables,broad,green vegetable
p864015,broad,animals,narrow,dalmation
p864015,broad,vehicles,intermediate,bus
p101210,hypernym,vegetables,intermediate,chili
p101210,narrow,animals,narrow,dalmation
p101210,hypernym,vehicles,broad,vehicle
p581918,broad,animals,broad,animal
p581918,intermediate,vehicles,intermediate,bus
p581918,intermediate,vegetables,narrow,chili
p6098,broad,vegetables,narrow,pepper
p6098,intermediate,vehicles,intermediate,bus
p6098,hypernym,animals,broad,dog
p660519,broad,animals,intermediate,Dog.
p660519,broad,vegetables,broad,Vegetable
p660519,narrow,vehicles,narrow,School bus.
p797976,broad,animals,narrow,Dalmation dog
p797976,intermediate,vehicles,intermediate,bus
p797976,broad,vegetables,broad,vegetable
p400046,broad,vegetables,broad,vegetable
p400046,narrow,animals,narrow,dalmatian
p400046,intermediate,vehicles,intermediate,bus
p559640,intermediate,vegetables,intermediate,pepper
p559640,intermediate,vehicles,narrow,bus
p559640,broad,animals,broad,mammal
p96741,broad,vehicles,broad,vehicle
p96741,broad,vegetables,intermediate,vegetable
p96741,broad,animals,narrow,animal
p483709,intermediate,animals,intermediate,dog
p483709,narrow,vegetables,narrow,peppers
p483709,broad,vehicles,broad,bus
p231212,hypernym,vegetables,broad,not a clue
p231212,hypernym,animals,intermediate,dog
p231212,narrow,vehicles,narrow,bus
p386869,hypernym,animals,intermediate,living thing
p386869,broad,vegetables,broad,vegetable
p386869,narrow,vehicles,narrow,vehicle
p279110,narrow,vegetables,narrow,pepper
p279110,broad,vehicles,intermediate,bus
p279110,broad,animals,broad,animal
p845083,hypernym,vehicles,broad,vehicle
p845083,narrow,animals,narrow,dalmatian
p845083,broad,vegetables,intermediate,vegetable
p97367,hypernym,vegetables,broad,vegetable
p97367,hypernym,vehicles,intermediate,bus
p97367,broad,animals,narrow,dalmation
p966046,intermediate,vegetables,narrow,kita means green chilli
p966046,hypernym,animals,broad,beppo means one of the dog variety
p966046,intermediate,vehicles,intermediate,sibu means school bus
p592161,broad,vegetables,broad,vegetable
p592161,broad,animals,intermediate,dog
p592161,intermediate,vehicles,narrow,schoolbus
p58277,broad,vehicles,broad,enclosed cab motorized vehicle
p58277,intermediate,animals,narrow,dalmation breed of dog
p58277,hypernym,vegetables,intermediate,pepper
p444179,hypernym,animals,intermediate,animal
p444179,intermediate,vehicles,narrow,bus
