subject,strategy,choice_strategy,comments
p120584,Used common sense categories.,I chose the fourth object that most resembled the first 3 in order to fine tune the category I had mentally placed the 3 in.,This may be a good way to learn a new language.
p621290,What all the objects had in common,What object was similar to the other word ,no
p941433,Mostly vision memory.,Something that I already have like a dog.,
p303589,I followed the examples.,I chose the image that was most similar.,None.
p736548,No.,I selected the image that was most similar to the other three images.,
p350934,I just tried to use common sense and think about what commonalities they had.,I picked an object which was similar to the others.,Nothing to add - thank you.
p110525,I tried to associate the word with the most common image.,The object that looked closest to the other three.,None.
p786454,just looked at the images that were presented and match the images to the word ,images that were alike to the picture presented,
p680,I tried to look for common elements.,I chose something that was different to see if there were common elements.,No.
p860216,"No special strategy, I just tried to remember based on the images given.",I would try to pick an image that was closest to one of the example images.,
p682659,I just used memorization and tried to categorize the images.,I decided on the category that the images fit into and matches them.,Thanks!
p709283,figures,by seeing the picture,none
p838843,no,similar to the picture,
p887883,no,based on if it was the same type of thing,no
p956418,There isn't enough information in the first three examples to know how wide the category described by the word is,"I picked an example that's in the same object group as the first three, but substantially different from the others to know whether the word refers to a specific subclass (i.e. pepper) or a broad class (i.e. vegetable)",
p743634,no,It was an object I was curious about.,No
p252266,No.,I chose an option that would let me discriminate from the other choices.,
p1740,no,kita,good survey
p244608,I just based it on what I saw and compared it to what I know.,But what I thought was correct.,
p293884,I didn't use any specific strategy. ,The same object as the first three examples. ,
p17537,Just looked for similarities.,I chose a different object to see if it was named the same.,
p652849,No,The image,No
p864015,No real strategy,One that looked the same,
p101210,none,by looking at the images,
p334234,no,I just clicked randomly,
p581918,no,if it was similar,
p6098,No not really just tried to remember/guess,No particular reason,
p115184,No,I randomly picked.,N/A
p660519,Finding the major theme that all the objects shared.,Find the object that was most similar to the example pictures.,
p797976,I tried to choose an object similar but a bit different then the training images (except for round 1).,"I wanted something similar but different, for example for the buses I chose a train car to see if the word was the same for all vehicle types with wheels or only busses in particular.",
p400046,I determined first what general category each item belonged to.,"I tried to pick an item that was in the general category, and if that item had the same name I knew it was that general category. If it wasn't I knew I had to narrow it down.",None
p559640,I tried to really use the examples to figure out what the word meant ,One that was similar to the examples shown but not exactly like the ones shown,
p96741,"Not really, tried to be as general as possible","Something that wasnt specific to the pictures, but part of a larger category",
p483709,no,just picked something i liked,no
p231212,No.,I chose something that might be similar.,
p386869,no,i chose something of a different category usually,
p602,no strategy,in the honest way i choose based on the instructions,none
p279110,No,I looked for similarities.,No
p845083,I don't really think there was a strategy...just looking at the pictures.,"I tried to pick something similar, but also different enough to see how broad the word covered",
p97367,no,similar items,
p966046,Guess,Slightly confident,Good
p592161,common pictures,looked similar,none thank you
p58277,"No, just looked at the three examples",what conformed to what the examples shared in common,
p444179,When I picked the one item I picked one that was different than the ones I was shown but could possibly be in the catagory to see if it was.,I picked the one that was somewhat like the ones I had already seen but a little different.,no
p144698,no,I chose a word that I thought would confirm my idea of what the word meant,none
p580490,No,One that was like the others. ,no
p367664,references to real life,i picked other objects that were kind of like the others but not 100% the same,thanks
p33838,Remember the word associated with the image...,What I liked.,no comments
p675096,I tried to pick an adjacent object to see if it was also included in the more specific category.,"As I said above, I tried to pick an adjacent object to see if it was also included in the more specific category.",
p643143,no,to confirm what I thought,
p874451,no,I picked what seemed to be the easiest to answer.,
p830878,n/a,Picked something similar.,
p499826,I tried to  discern what types of objects there were and what they had in common,I chose which ones I was curious to know the name of.  ,
p646348,No,one that was similar,None
p579754,"I selected something different, but similar to, the images I was shown.","I selected something different, but similar to, the images I was shown.","I enjoyed it, thanks!"
p862122,"I didn't use any strategy other than trying to narrow down the word by picking a similar image that was still different. For example, choosing the horse to test if the word meant ""dog"" or ""animal.""","I tried to narrow down the word by picking a similar image that was still different. For example, choosing the horse to test if the word meant ""dog"" or ""animal.""",No comments.
p112799,i picked an object i wasn't sure would fit. The extreme for the category,I tried to pick an object that i wasn't sure would fit in. I didn't want to pick something that I knew would fit.,
p14663,not,not,not
p996028,just check resemblance in each item,Check to see how they were alike,none
p556023,I picked something that was in the same category to see if it had the same name.,I wanted to choose something in the same category to see if it had the same name.,
p910162,I just looked to see what category I felt the images belonged to. ,I looked to see an image from the pictures that looked most closely like the three that were presented. ,Thanks for the opportunity to participate!
p939168,I tried to just go as close as possible,I figured to go close enough to the other 3,
p735176,Memorization,I picked things I didn't know the name of or hadn't seen previously.,None
p156566,"I tried to see which characteristics they had in common, such as being an animal or which traits they all had in common. ","I tried to pick something that might either rule out the category or include it, such as determining whether or not the caboose was part of the group.  ",The instructions were easy to understand. 
p464403,I tried to click on items that were a different category but related in some way to see if the word was general or specific.,I tried to click on items that were a different category but related in some way to see if the word was general or specific.,
p55214,I looked for similarities between objects,I was interested in learning new words so I tried to choose an object that was different than the ones I saw.,
p604164,not really,I chose something similar but not the same,"
"
p73948,No,The resemblance of the three images  ,Interesting
p399593,"Context clues, looked at the picture to help figure the word",i don't know,
p716839,Nothing,on my view,Nice
p432813,Just process of elimination really.,I tried to choose something different but possibly related.,None
p479101,I checked how general or specific a term was when asked to choose an object to learn the word to.,"I wanted to see if a similar, but not identical object had the same name or not to see how specific or general the new word was. IE: check a cat to see if the word was for animals versus only dogs.",
p167979,no,I picked the image that was similar,
p318772,no,just random,
p678777,I just looked at the word and then at the examples and drew a conclusion based on the similarities I was seeing in the object examples.,"In the first round, I tried to confirm what I had saw in the previous screen. In the second and third rounds, I tried to pick something that was close to the examples, but yet different to see if the word was the same as I thought that would be more helpful.",This was fun to work on. 
p599278,No,I followed the examples.,No
p496927,no,something different yet simialr,no
p846929,Figure out overall category,see if similar fits into the category,
p746880,i did my best knowledge ,i did my best knowledge ,nice
p600079,nothing,nothing,good
p530791,N/A,"I clicked on an image that was similar, but I was unsure if it fit the definition of the word. ",N/A
p633554,No,Good,Good task
p788285,"I tried to think of commonalities and differences among the three named things. For example, if three green vegetables where shown but the fourth item also had the same name but a different color then the commonality was being a vegetable and not the color.","I eventually settled on the strategy of picking a new object that was in the same category but different than what was previously shown. For example, picking a horse instead of another dog when previously three dogs where shown. This let me know that a horse was also called the same word.",None
p1444,"I just looked at the pictures and if they seemed like they were in a specific category (ie: the yellow buses, I tried to click on any colored bus to see if it was a kita, too.)","I wanted to choose a different object to see if it was a different word, but I ended up picking the same image from the list of examples, because I wanted to make sure it was the same as the rest.",
p90225,"No, I just looked at the pictures and interpreted from there.","I wanted to confirm that the word meant what I thought it meant, so I chose a similar item.",
p782790,no,na,good
p141416,I just compared the pictures and find a common thread,I chose the one that had the best similarity ,
p43803,"Yes just look at the context you are given, pick on an object when asked, that is quite similar to it then use and educated guess.",I chose something that was closely similiar.,
p301541,I just paid attention to what was presented. ,Select something similar but a bit different. ,No comments. 
p302991,Not really,I chose a different type of object entirely,
p970395,no,I tried selecting a similar type of object to see if it had the same word.,
p524309,images associated with the word,na,na
p842847,I tried to use the examples plus the fourth object to rule in and rule out objects such that I could positively determine as specific a definition for the new word as I could.,"I tried to pick strategically to see how large a group the new word applied to.  Did it apply to just buses, or all vehicles? for example.",None.
p605577,Just making image associations.,I chose similar images to determine whether the definition was a lot more broad.,No issues. Great survey!
p748957,"At first with the beepo, I picked the image to confirm what I thought it was, whhich was bus, but I later on realised this was just to fulfill what I thought it was bias, so thats why next time I chose what also could be the animal instead of the dog to rule it out to being not just dogs but the vague topic.","As stated above, at first I chose what would fit into what I thought it was, but later realised this was the wrong path and instead chose the image that could still be it potentially and expand the meaning",
p876058,I tried to see what the things had in common.,I started out learning a different word but decided to stick with the current word,none
p765174,Just using my brain,I wanted to pick a different option ,I made two accidental clicks on the same item twice
p534551,No,I chose something that was slightly different than the words I already saw,
